params,precision_mean,recall_mean,roc_auc_mean,accuracy_mean,f1_mean
"{'colsample_bytree': 0.6, 'gamma': 0.0, 'learning_rate': 0.05, 'max_depth': 5, 'min_child_weight': 1, 'reg_lambda': 0.1, 'subsample': 1.0}",0.799681819438151,0.7176160337552743,0.8092358637756494,0.7271255060728745,0.7564246538591767
"{'colsample_bytree': 0.6, 'gamma': 0.0, 'learning_rate': 0.05, 'max_depth': 5, 'min_child_weight': 1, 'reg_lambda': 1.0, 'subsample': 0.8}",0.7999432348381368,0.7154008438818564,0.8092208030514512,0.7263157894736842,0.7553100694950745
"{'colsample_bytree': 0.8, 'gamma': 1.0, 'learning_rate': 0.05, 'max_depth': 5, 'min_child_weight': 1, 'reg_lambda': 0.1, 'subsample': 0.8}",0.8005110312468402,0.719620253164557,0.809215027434182,0.7285580815945188,0.7579048903407
"{'colsample_bytree': 0.8, 'gamma': 1.0, 'learning_rate': 0.05, 'max_depth': 5, 'min_child_weight': 1, 'reg_lambda': 1.0, 'subsample': 0.8}",0.8004440056001423,0.7178270042194093,0.8092026339221254,0.7277172220492059,0.756884559392835
"{'colsample_bytree': 0.8, 'gamma': 0.1, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 1, 'reg_lambda': 0.1, 'subsample': 1.0}",0.7928858702138228,0.732753164556962,0.809159276684154,0.7291809405169729,0.7616223595485453
"{'colsample_bytree': 0.6, 'gamma': 1.0, 'learning_rate': 0.1, 'max_depth': 5, 'min_child_weight': 1, 'reg_lambda': 1.0, 'subsample': 0.8}",0.7978704495962485,0.7256856540084387,0.8091582739728225,0.7294612270320772,0.760058633788423
"{'colsample_bytree': 0.6, 'gamma': 0.1, 'learning_rate': 0.05, 'max_depth': 5, 'min_child_weight': 1, 'reg_lambda': 0.1, 'subsample': 0.8}",0.8000034100854195,0.7154535864978904,0.8091526487622531,0.7263780753659297,0.755367116625852
"{'colsample_bytree': 0.8, 'gamma': 0.0, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 1, 'reg_lambda': 0.1, 'subsample': 1.0}",0.7937225870377448,0.7336497890295359,0.8091330557828368,0.7301463718467767,0.7624962716169481
"{'colsample_bytree': 0.6, 'gamma': 1.0, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 5, 'reg_lambda': 0.1, 'subsample': 1.0}",0.7982477391826451,0.7233649789029536,0.8091321934510918,0.7287137963251324,0.758955555003399
"{'colsample_bytree': 0.8, 'gamma': 0.1, 'learning_rate': 0.05, 'max_depth': 5, 'min_child_weight': 1, 'reg_lambda': 1.0, 'subsample': 0.8}",0.799403401194931,0.7171940928270042,0.809119448990069,0.726751790719402,0.7560611559058381
"{'colsample_bytree': 0.6, 'gamma': 0.0, 'learning_rate': 0.1, 'max_depth': 5, 'min_child_weight': 1, 'reg_lambda': 1.0, 'subsample': 0.8}",0.799279415754761,0.7257911392405064,0.8091138739150663,0.7304578013080036,0.7607599928318265
"{'colsample_bytree': 0.6, 'gamma': 0.0, 'learning_rate': 0.1, 'max_depth': 5, 'min_child_weight': 5, 'reg_lambda': 0.1, 'subsample': 1.0}",0.7988292221955466,0.7251054852320675,0.8091128511495083,0.7298349423855497,0.7601697472753278
"{'colsample_bytree': 0.8, 'gamma': 0.0, 'learning_rate': 0.1, 'max_depth': 5, 'min_child_weight': 5, 'reg_lambda': 1.0, 'subsample': 1.0}",0.800147485728016,0.7246308016877637,0.8091122094142561,0.7305200872002492,0.7605034630112141
"{'colsample_bytree': 0.6, 'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 5, 'min_child_weight': 1, 'reg_lambda': 1.0, 'subsample': 1.0}",0.7976085238550077,0.7245780590717299,0.8091072560202788,0.7288072251635004,0.7593332682337862
"{'colsample_bytree': 0.8, 'gamma': 1.0, 'learning_rate': 0.1, 'max_depth': 5, 'min_child_weight': 1, 'reg_lambda': 1.0, 'subsample': 0.8}",0.799104299454904,0.7243670886075949,0.8091013299963101,0.7297103706010588,0.7598971968960411
"{'colsample_bytree': 0.6, 'gamma': 0.0, 'learning_rate': 0.1, 'max_depth': 5, 'min_child_weight': 1, 'reg_lambda': 0.1, 'subsample': 1.0}",0.7978851006055269,0.7234704641350211,0.8090991039771541,0.7284957957022734,0.7588462226926878
"{'colsample_bytree': 0.6, 'gamma': 0.0, 'learning_rate': 0.05, 'max_depth': 5, 'min_child_weight': 1, 'reg_lambda': 0.1, 'subsample': 0.8}",0.800472510948329,0.7160864978902953,0.8090922955672137,0.726969791342261,0.75592933082418
"{'colsample_bytree': 0.6, 'gamma': 1.0, 'learning_rate': 0.1, 'max_depth': 7, 'min_child_weight': 5, 'reg_lambda': 1.0, 'subsample': 1.0}",0.7980714879379833,0.7235759493670886,0.8090615524377917,0.7286826533790097,0.758997449097883
"{'colsample_bytree': 0.6, 'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 5, 'min_child_weight': 5, 'reg_lambda': 0.1, 'subsample': 0.8}",0.8002892930250788,0.7246835443037973,0.8090439047183583,0.73064465898474,0.760606513816611
"{'colsample_bytree': 0.6, 'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 7, 'min_child_weight': 1, 'reg_lambda': 1.0, 'subsample': 1.0}",0.789787346116767,0.7440400843881857,0.8090363041664661,0.7319215197757708,0.7662284158713432
"{'colsample_bytree': 0.6, 'gamma': 0.0, 'learning_rate': 0.1, 'max_depth': 5, 'min_child_weight': 5, 'reg_lambda': 1.0, 'subsample': 0.8}",0.7995284203316042,0.7256856540084389,0.8090358228650271,0.7305823730924945,0.7608099055717757
"{'colsample_bytree': 0.6, 'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 5, 'min_child_weight': 5, 'reg_lambda': 1.0, 'subsample': 0.8}",0.7991127595670251,0.7231540084388186,0.8090350808586416,0.7291809405169729,0.759234190205191
"{'colsample_bytree': 0.8, 'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 5, 'min_child_weight': 5, 'reg_lambda': 1.0, 'subsample': 1.0}",0.7988862338079523,0.723259493670886,0.809022998187098,0.7290563687324821,0.7591737709646819
"{'colsample_bytree': 0.6, 'gamma': 0.1, 'learning_rate': 0.05, 'max_depth': 5, 'min_child_weight': 5, 'reg_lambda': 0.1, 'subsample': 1.0}",0.7994864529685495,0.7145569620253165,0.8089993743081292,0.7256306446589849,0.7546214907823083
"{'colsample_bytree': 0.8, 'gamma': 0.0, 'learning_rate': 0.05, 'max_depth': 5, 'min_child_weight': 1, 'reg_lambda': 0.1, 'subsample': 0.8}",0.7996473417161563,0.718090717299578,0.8089925257897355,0.7273123637496106,0.7566708022837816
"{'colsample_bytree': 0.8, 'gamma': 0.0, 'learning_rate': 0.1, 'max_depth': 5, 'min_child_weight': 1, 'reg_lambda': 1.0, 'subsample': 0.8}",0.7997226932531396,0.7246835443037976,0.8089863190065939,0.7302709436312675,0.7603476701776181
"{'colsample_bytree': 0.6, 'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 5, 'min_child_weight': 1, 'reg_lambda': 0.1, 'subsample': 1.0}",0.7980372462342321,0.7236286919831223,0.8089194281336735,0.7286826533790097,0.7590112493759344
"{'colsample_bytree': 0.6, 'gamma': 0.1, 'learning_rate': 0.05, 'max_depth': 5, 'min_child_weight': 1, 'reg_lambda': 0.1, 'subsample': 1.0}",0.8005470087568538,0.7181434599156118,0.8089145850379428,0.7279352226720649,0.7570969471777902
"{'colsample_bytree': 0.8, 'gamma': 1.0, 'learning_rate': 0.05, 'max_depth': 5, 'min_child_weight': 5, 'reg_lambda': 1.0, 'subsample': 0.8}",0.7997110348384862,0.7168248945147679,0.8089100327284978,0.7267829336655247,0.7559954987602282
"{'colsample_bytree': 0.8, 'gamma': 0.1, 'learning_rate': 0.05, 'max_depth': 5, 'min_child_weight': 1, 'reg_lambda': 0.1, 'subsample': 0.8}",0.7989276586007122,0.7171413502109705,0.808885376056858,0.7264092183120523,0.7558195797025392
"{'colsample_bytree': 0.8, 'gamma': 1.0, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 1, 'reg_lambda': 0.1, 'subsample': 1.0}",0.7983793721764597,0.7270569620253166,0.8088746771269513,0.730426658361881,0.7610429047831981
"{'colsample_bytree': 0.6, 'gamma': 1.0, 'learning_rate': 0.1, 'max_depth': 7, 'min_child_weight': 5, 'reg_lambda': 0.1, 'subsample': 1.0}",0.7993236553566753,0.7245780590717299,0.8088450570342205,0.7299595141700406,0.7601143272312719
"{'colsample_bytree': 0.8, 'gamma': 1.0, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 1, 'reg_lambda': 1.0, 'subsample': 1.0}",0.798107155976069,0.7247362869198313,0.8088437535094897,0.7292120834630957,0.7596469957919331
"{'colsample_bytree': 0.6, 'gamma': 0.0, 'learning_rate': 0.05, 'max_depth': 5, 'min_child_weight': 1, 'reg_lambda': 1.0, 'subsample': 1.0}",0.7999321716232466,0.7161919831223629,0.8088388502510788,0.7266583618810338,0.7557451910743181
"{'colsample_bytree': 0.6, 'gamma': 0.0, 'learning_rate': 0.05, 'max_depth': 5, 'min_child_weight': 5, 'reg_lambda': 1.0, 'subsample': 0.8}",0.8005929403417256,0.7153481012658227,0.8088019705283086,0.7267206477732795,0.7555678777844952
"{'colsample_bytree': 0.6, 'gamma': 0.0, 'learning_rate': 0.1, 'max_depth': 5, 'min_child_weight': 1, 'reg_lambda': 0.1, 'subsample': 0.8}",0.7988793577178475,0.726107594936709,0.8088011683592434,0.730333229523513,0.7607517368306572
"{'colsample_bytree': 0.6, 'gamma': 0.0, 'learning_rate': 0.1, 'max_depth': 5, 'min_child_weight': 1, 'reg_lambda': 1.0, 'subsample': 1.0}",0.798795452559333,0.7238396624472574,0.8087979596829827,0.729274369355341,0.7594581077873839
"{'colsample_bytree': 0.8, 'gamma': 0.0, 'learning_rate': 0.05, 'max_depth': 5, 'min_child_weight': 1, 'reg_lambda': 1.0, 'subsample': 0.8}",0.7994784970568679,0.7168776371308015,0.8087969268903115,0.7266583618810339,0.7559208608841458
"{'colsample_bytree': 0.6, 'gamma': 1.0, 'learning_rate': 0.05, 'max_depth': 5, 'min_child_weight': 5, 'reg_lambda': 1.0, 'subsample': 0.8}",0.8003386354450578,0.7148206751054852,0.8087919634692206,0.7263157894736842,0.7551598133656234
"{'colsample_bytree': 0.8, 'gamma': 0.0, 'learning_rate': 0.05, 'max_depth': 5, 'min_child_weight': 5, 'reg_lambda': 1.0, 'subsample': 0.8}",0.800361973304938,0.7170358649789029,0.8087898577754247,0.7273123637496107,0.7564012250722504
"{'colsample_bytree': 0.8, 'gamma': 0.1, 'learning_rate': 0.05, 'max_depth': 5, 'min_child_weight': 5, 'reg_lambda': 1.0, 'subsample': 0.8}",0.8006650006454612,0.7173523206751056,0.8087883837897675,0.7276549361569604,0.7567186817457116
"{'colsample_bytree': 0.6, 'gamma': 0.0, 'learning_rate': 0.1, 'max_depth': 7, 'min_child_weight': 5, 'reg_lambda': 1.0, 'subsample': 1.0}",0.7924579597094363,0.7396097046413502,0.8087599368692946,0.7318592338835254,0.76511304069226
"{'colsample_bytree': 0.6, 'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 7, 'min_child_weight': 5, 'reg_lambda': 1.0, 'subsample': 1.0}",0.7905428579557007,0.7398206751054852,0.8087488669361955,0.7306135160386172,0.7643299293214688
"{'colsample_bytree': 0.8, 'gamma': 1.0, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 5, 'reg_lambda': 1.0, 'subsample': 1.0}",0.7974563856209296,0.7218354430379746,0.8087343577032297,0.7274992214263469,0.7577519198245989
"{'colsample_bytree': 0.6, 'gamma': 0.1, 'learning_rate': 0.05, 'max_depth': 5, 'min_child_weight': 5, 'reg_lambda': 0.1, 'subsample': 0.8}",0.8002165793141248,0.7151371308016877,0.8087152761065923,0.7263780753659296,0.7552815215549362
"{'colsample_bytree': 0.8, 'gamma': 0.0, 'learning_rate': 0.1, 'max_depth': 5, 'min_child_weight': 1, 'reg_lambda': 1.0, 'subsample': 1.0}",0.7985302143724815,0.7238924050632911,0.8087006064398132,0.7291186546247275,0.7593699338983427
"{'colsample_bytree': 0.6, 'gamma': 0.0, 'learning_rate': 0.1, 'max_depth': 5, 'min_child_weight': 5, 'reg_lambda': 0.1, 'subsample': 0.8}",0.7998270135111195,0.7253691983122362,0.808692374179782,0.73064465898474,0.7607774279113239
"{'colsample_bytree': 0.8, 'gamma': 1.0, 'learning_rate': 0.1, 'max_depth': 5, 'min_child_weight': 1, 'reg_lambda': 0.1, 'subsample': 0.8}",0.7985392241796712,0.72626582278481,0.8086899375912469,0.7301775147928994,0.7606837547133581
"{'colsample_bytree': 0.6, 'gamma': 0.0, 'learning_rate': 0.05, 'max_depth': 5, 'min_child_weight': 5, 'reg_lambda': 1.0, 'subsample': 1.0}",0.7999003262848378,0.7154535864978903,0.8086585426994594,0.7263157894736841,0.7553185740487052
"{'colsample_bytree': 0.6, 'gamma': 0.0, 'learning_rate': 0.05, 'max_depth': 5, 'min_child_weight': 5, 'reg_lambda': 0.1, 'subsample': 0.8}",0.8004291490581691,0.7156645569620252,0.8086182938666153,0.726751790719402,0.7556705055895627
"{'colsample_bytree': 0.6, 'gamma': 0.0, 'learning_rate': 0.05, 'max_depth': 5, 'min_child_weight': 5, 'reg_lambda': 0.1, 'subsample': 1.0}",0.8006068230009337,0.7156118143459916,0.8086009369334681,0.72684521955777,0.7557181076921629
"{'colsample_bytree': 0.8, 'gamma': 1.0, 'learning_rate': 0.05, 'max_depth': 5, 'min_child_weight': 5, 'reg_lambda': 0.1, 'subsample': 0.8}",0.7999550534984452,0.7162974683544304,0.8085932060291029,0.7267206477732794,0.7558140393591023
"{'colsample_bytree': 0.6, 'gamma': 0.1, 'learning_rate': 0.05, 'max_depth': 5, 'min_child_weight': 5, 'reg_lambda': 1.0, 'subsample': 1.0}",0.8009951341119737,0.7154535864978904,0.8085859263448365,0.7270320772345065,0.7558093107862278
"{'colsample_bytree': 0.6, 'gamma': 0.1, 'learning_rate': 0.05, 'max_depth': 5, 'min_child_weight': 5, 'reg_lambda': 1.0, 'subsample': 0.8}",0.7997932325924918,0.7138713080168777,0.808580331215607,0.7255372158206166,0.7543863698247659
"{'colsample_bytree': 0.8, 'gamma': 0.0, 'learning_rate': 0.05, 'max_depth': 5, 'min_child_weight': 1, 'reg_lambda': 1.0, 'subsample': 1.0}",0.7986445820319804,0.7174050632911393,0.8085308373842871,0.726346932419807,0.7558358329344795
"{'colsample_bytree': 0.8, 'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 5, 'min_child_weight': 1, 'reg_lambda': 1.0, 'subsample': 1.0}",0.7973429398163427,0.72584388185654,0.808515014599477,0.7291809405169729,0.7598993212456124
