RegionName,RegionCode,Date,C1M_School closing,C2M_Workplace closing,H6M_Facial Coverings,ConfirmedCases,ConfirmedDeaths,daily_cases,daily_deaths,cases_14d_avg,deaths_14d_avg
Tasmania,AUS_TAS,2021-10-18,1.0,1.0,4.0,237.0,13.0,0.0,0.0,0.07142857142857142,0.0
Tasmania,AUS_TAS,2021-10-19,1.0,1.0,4.0,237.0,13.0,0.0,0.0,0.07142857142857142,0.0
Tasmania,AUS_TAS,2021-10-20,1.0,1.0,4.0,237.0,13.0,0.0,0.0,0.07142857142857142,0.0
Tasmania,AUS_TAS,2021-10-21,1.0,1.0,4.0,237.0,13.0,0.0,0.0,0.07142857142857142,0.0
Tasmania,AUS_TAS,2021-10-22,1.0,1.0,2.0,237.0,13.0,0.0,0.0,0.07142857142857142,0.0
Tasmania,AUS_TAS,2021-10-23,1.0,1.0,2.0,237.0,13.0,0.0,0.0,0.07142857142857142,0.0
Tasmania,AUS_TAS,2021-10-24,1.0,1.0,2.0,237.0,13.0,0.0,0.0,0.07142857142857142,0.0
Tasmania,AUS_TAS,2021-10-25,1.0,1.0,2.0,237.0,13.0,0.0,0.0,0.07142857142857142,0.0
Tasmania,AUS_TAS,2021-10-26,1.0,1.0,2.0,237.0,13.0,0.0,0.0,0.07142857142857142,0.0
Tasmania,AUS_TAS,2021-10-27,1.0,1.0,2.0,237.0,13.0,0.0,0.0,0.0,0.0
Tasmania,AUS_TAS,2021-10-28,1.0,1.0,2.0,237.0,13.0,0.0,0.0,0.0,0.0
Tasmania,AUS_TAS,2021-10-29,1.0,1.0,2.0,237.0,13.0,0.0,0.0,0.0,0.0
Tasmania,AUS_TAS,2021-10-30,1.0,1.0,2.0,237.0,13.0,0.0,0.0,0.0,0.0
Tasmania,AUS_TAS,2021-10-31,1.0,1.0,2.0,237.0,13.0,0.0,0.0,0.0,0.0
Tasmania,AUS_TAS,2021-11-01,1.0,1.0,2.0,237.0,13.0,0.0,0.0,0.0,0.0
Tasmania,AUS_TAS,2021-11-02,1.0,1.0,2.0,237.0,13.0,0.0,0.0,0.0,0.0
Tasmania,AUS_TAS,2021-11-03,1.0,1.0,2.0,237.0,13.0,0.0,0.0,0.0,0.0
Tasmania,AUS_TAS,2021-11-04,1.0,1.0,2.0,237.0,13.0,0.0,0.0,0.0,0.0
Tasmania,AUS_TAS,2021-11-05,1.0,1.0,2.0,237.0,13.0,0.0,0.0,0.0,0.0
Tasmania,AUS_TAS,2021-11-06,1.0,1.0,2.0,237.0,13.0,0.0,0.0,0.0,0.0
Tasmania,AUS_TAS,2021-11-07,1.0,1.0,2.0,237.0,13.0,0.0,0.0,0.0,0.0
Tasmania,AUS_TAS,2021-11-08,1.0,1.0,2.0,237.0,13.0,0.0,0.0,0.0,0.0
Tasmania,AUS_TAS,2021-11-09,1.0,1.0,2.0,237.0,13.0,0.0,0.0,0.0,0.0
Tasmania,AUS_TAS,2021-11-10,1.0,1.0,2.0,237.0,13.0,0.0,0.0,0.0,0.0
Tasmania,AUS_TAS,2021-11-11,1.0,1.0,2.0,237.0,13.0,0.0,0.0,0.0,0.0
Tasmania,AUS_TAS,2021-11-12,1.0,1.0,2.0,237.0,13.0,0.0,0.0,0.0,0.0
Tasmania,AUS_TAS,2021-11-13,1.0,1.0,2.0,237.0,13.0,0.0,0.0,0.0,0.0
Tasmania,AUS_TAS,2021-11-14,1.0,1.0,2.0,238.0,13.0,1.0,0.0,0.07142857142857142,0.0
Tasmania,AUS_TAS,2021-11-15,1.0,1.0,2.0,238.0,13.0,0.0,0.0,0.07142857142857142,0.0
Tasmania,AUS_TAS,2021-11-16,1.0,1.0,2.0,238.0,13.0,0.0,0.0,0.07142857142857142,0.0
Tasmania,AUS_TAS,2021-11-17,1.0,1.0,2.0,238.0,13.0,0.0,0.0,0.07142857142857142,0.0
Tasmania,AUS_TAS,2021-11-18,1.0,1.0,2.0,238.0,13.0,0.0,0.0,0.07142857142857142,0.0
Tasmania,AUS_TAS,2021-11-19,1.0,1.0,2.0,238.0,13.0,0.0,0.0,0.07142857142857142,0.0
Tasmania,AUS_TAS,2021-11-20,1.0,1.0,2.0,238.0,13.0,0.0,0.0,0.07142857142857142,0.0
Tasmania,AUS_TAS,2021-11-21,1.0,1.0,2.0,238.0,13.0,0.0,0.0,0.07142857142857142,0.0
Tasmania,AUS_TAS,2021-11-22,1.0,1.0,2.0,239.0,13.0,1.0,0.0,0.14285714285714285,0.0
Tasmania,AUS_TAS,2021-11-23,1.0,1.0,2.0,239.0,13.0,0.0,0.0,0.14285714285714285,0.0
Tasmania,AUS_TAS,2021-11-24,1.0,1.0,2.0,239.0,13.0,0.0,0.0,0.14285714285714285,0.0
Tasmania,AUS_TAS,2021-11-25,1.0,1.0,2.0,239.0,13.0,0.0,0.0,0.14285714285714285,0.0
Tasmania,AUS_TAS,2021-11-26,1.0,1.0,2.0,239.0,13.0,0.0,0.0,0.14285714285714285,0.0
Tasmania,AUS_TAS,2021-11-27,1.0,1.0,2.0,239.0,13.0,0.0,0.0,0.14285714285714285,0.0
Tasmania,AUS_TAS,2021-11-28,1.0,1.0,2.0,239.0,13.0,0.0,0.0,0.07142857142857142,0.0
Tasmania,AUS_TAS,2021-11-29,1.0,1.0,2.0,239.0,13.0,0.0,0.0,0.07142857142857142,0.0
Tasmania,AUS_TAS,2021-11-30,1.0,1.0,2.0,240.0,13.0,1.0,0.0,0.14285714285714285,0.0
Tasmania,AUS_TAS,2021-12-01,1.0,1.0,2.0,240.0,13.0,0.0,0.0,0.14285714285714285,0.0
Tasmania,AUS_TAS,2021-12-02,1.0,1.0,2.0,240.0,13.0,0.0,0.0,0.14285714285714285,0.0
Tasmania,AUS_TAS,2021-12-03,1.0,1.0,2.0,240.0,13.0,0.0,0.0,0.14285714285714285,0.0
Tasmania,AUS_TAS,2021-12-04,1.0,1.0,2.0,240.0,13.0,0.0,0.0,0.14285714285714285,0.0
Tasmania,AUS_TAS,2021-12-05,1.0,1.0,2.0,240.0,13.0,0.0,0.0,0.14285714285714285,0.0
Tasmania,AUS_TAS,2021-12-06,1.0,1.0,2.0,240.0,13.0,0.0,0.0,0.07142857142857142,0.0
Tasmania,AUS_TAS,2021-12-07,1.0,1.0,2.0,240.0,13.0,0.0,0.0,0.07142857142857142,0.0
Tasmania,AUS_TAS,2021-12-08,1.0,1.0,2.0,240.0,13.0,0.0,0.0,0.07142857142857142,0.0
Tasmania,AUS_TAS,2021-12-09,1.0,1.0,2.0,240.0,13.0,0.0,0.0,0.07142857142857142,0.0
Tasmania,AUS_TAS,2021-12-10,1.0,1.0,2.0,240.0,13.0,0.0,0.0,0.07142857142857142,0.0
Tasmania,AUS_TAS,2021-12-11,1.0,1.0,2.0,240.0,13.0,0.0,0.0,0.07142857142857142,0.0
Tasmania,AUS_TAS,2021-12-12,1.0,1.0,2.0,240.0,13.0,0.0,0.0,0.07142857142857142,0.0
Tasmania,AUS_TAS,2021-12-13,1.0,1.0,2.0,240.0,13.0,0.0,0.0,0.07142857142857142,0.0
Tasmania,AUS_TAS,2021-12-14,1.0,1.0,2.0,240.0,13.0,0.0,0.0,0.0,0.0
Tasmania,AUS_TAS,2021-12-15,1.0,1.0,2.0,241.0,13.0,1.0,0.0,0.07142857142857142,0.0
Tasmania,AUS_TAS,2021-12-16,1.0,1.0,2.0,243.0,13.0,2.0,0.0,0.21428571428571427,0.0
Tasmania,AUS_TAS,2021-12-17,1.0,1.0,2.0,244.0,13.0,1.0,0.0,0.2857142857142857,0.0
Tasmania,AUS_TAS,2021-12-18,1.0,1.0,2.0,247.0,13.0,3.0,0.0,0.5,0.0
Tasmania,AUS_TAS,2021-12-19,1.0,1.0,2.0,250.0,13.0,3.0,0.0,0.7142857142857143,0.0
Tasmania,AUS_TAS,2021-12-20,1.0,1.0,2.0,254.0,13.0,4.0,0.0,1.0,0.0
Tasmania,AUS_TAS,2021-12-21,1.0,1.0,2.0,266.0,13.0,12.0,0.0,1.8571428571428572,0.0
Tasmania,AUS_TAS,2021-12-22,1.0,1.0,2.0,292.0,13.0,26.0,0.0,3.7142857142857144,0.0
Tasmania,AUS_TAS,2021-12-23,1.0,1.0,2.0,288.0,13.0,,0.0,4.0,0.0
Tasmania,AUS_TAS,2021-12-24,1.0,1.0,2.0,353.0,13.0,65.0,0.0,9.0,0.0
Tasmania,AUS_TAS,2021-12-25,1.0,1.0,2.0,353.0,13.0,0.0,0.0,9.0,0.0
Tasmania,AUS_TAS,2021-12-26,1.0,1.0,2.0,434.0,13.0,81.0,0.0,15.23076923076923,0.0
Tasmania,AUS_TAS,2021-12-27,1.0,1.0,2.0,483.0,13.0,49.0,0.0,19.0,0.0
Tasmania,AUS_TAS,2021-12-28,1.0,1.0,2.0,540.0,13.0,57.0,0.0,23.384615384615383,0.0
Tasmania,AUS_TAS,2021-12-29,1.0,1.0,2.0,637.0,13.0,97.0,0.0,30.76923076923077,0.0
Tasmania,AUS_TAS,2021-12-30,1.0,1.0,2.0,785.0,13.0,148.0,0.0,42.0,0.0
Tasmania,AUS_TAS,2021-12-31,1.0,1.0,2.0,785.0,13.0,0.0,0.0,41.92307692307692,0.0
Tasmania,AUS_TAS,2022-01-01,1.0,1.0,2.0,1613.0,13.0,828.0,0.0,105.38461538461539,0.0
Tasmania,AUS_TAS,2022-01-02,1.0,1.0,2.0,1628.0,13.0,15.0,0.0,106.3076923076923,0.0
Tasmania,AUS_TAS,2022-01-03,1.0,1.0,2.0,2259.0,13.0,631.0,0.0,154.53846153846155,0.0
Tasmania,AUS_TAS,2022-01-04,1.0,1.0,2.0,3674.0,13.0,1415.0,0.0,262.46153846153845,0.0
Tasmania,AUS_TAS,2022-01-05,1.0,1.0,2.0,4422.0,13.0,748.0,0.0,318.0,0.0
Tasmania,AUS_TAS,2022-01-06,1.0,1.0,2.0,5911.0,13.0,1489.0,0.0,401.64285714285717,0.0
Tasmania,AUS_TAS,2022-01-07,1.0,1.0,2.0,8133.0,13.0,2222.0,0.0,555.7142857142857,0.0
Tasmania,AUS_TAS,2022-01-08,1.0,1.0,2.0,9528.0,13.0,1395.0,0.0,655.3571428571429,0.0
Tasmania,AUS_TAS,2022-01-09,1.0,1.0,2.0,10713.0,13.0,1185.0,0.0,734.2142857142857,0.0
Tasmania,AUS_TAS,2022-01-10,1.0,1.0,2.0,12080.0,13.0,1367.0,0.0,828.3571428571429,0.0
Tasmania,AUS_TAS,2022-01-11,1.0,1.0,2.0,13649.0,13.0,1569.0,0.0,936.3571428571429,0.0
Tasmania,AUS_TAS,2022-01-12,1.0,1.0,2.0,14745.0,13.0,1096.0,0.0,1007.7142857142857,0.0
Tasmania,AUS_TAS,2022-01-13,1.0,1.0,2.0,15938.0,13.0,1193.0,0.0,1082.357142857143,0.0
Tasmania,AUS_TAS,2022-01-14,1.0,1.0,3.0,17098.0,13.0,1160.0,0.0,1165.2142857142858,0.0
Tasmania,AUS_TAS,2022-01-15,1.0,1.0,3.0,17970.0,13.0,872.0,0.0,1168.357142857143,0.0
Tasmania,AUS_TAS,2022-01-16,1.0,1.0,3.0,19051.0,13.0,1081.0,0.0,1244.5,0.0
Tasmania,AUS_TAS,2022-01-17,1.0,1.0,3.0,20361.0,13.0,1310.0,0.0,1293.0,0.0
Tasmania,AUS_TAS,2022-01-18,1.0,1.0,3.0,21546.0,13.0,1185.0,0.0,1276.5714285714287,0.0
Tasmania,AUS_TAS,2022-01-19,1.0,1.0,3.0,22648.0,13.0,1102.0,0.0,1301.857142857143,0.0
Tasmania,AUS_TAS,2022-01-20,1.0,1.0,3.0,23515.0,14.0,867.0,1.0,1257.4285714285713,0.07142857142857142
Tasmania,AUS_TAS,2022-01-21,1.0,1.0,3.0,23924.0,15.0,409.0,1.0,1127.9285714285713,0.14285714285714285
Tasmania,AUS_TAS,2022-01-22,1.0,1.0,2.0,24550.0,15.0,626.0,0.0,1073.0,0.14285714285714285
Tasmania,AUS_TAS,2022-01-23,1.0,1.0,2.0,25282.0,15.0,732.0,0.0,1040.642857142857,0.14285714285714285
